"id","group","cost","pts"
317,"R",4.5,2
318,"R",5,113
319,"R",4.5,57
320,"R",4.5,31
321,"R",4.5,67
322,"R",4.5,87
323,"R",4.5,71
324,"R",5,35
325,"R",5,50
326,"R",4,15
327,"R",4,1
328,"R",5.5,55
329,"R",4.5,131
330,"R",4.5,48
331,"R",5,0
332,"R",5,65
333,"R",6,28
334,"R",5,38
335,"R",6,43
336,"R",7,130
337,"R",5.5,43
338,"R",5.5,8
339,"S",4.5,0
340,"S",4.5,113
341,"S",4.5,74
342,"S",4.5,79
343,"S",5,102
344,"S",4.5,131
345,"S",5,77
346,"S",6.5,110
347,"S",5,84
348,"S",4.5,54
349,"S",5,52
350,"S",4.5,12
351,"S",5.5,115
352,"S",4.5,9
353,"S",5,99
354,"S",6.5,118
355,"S",5,52
356,"S",6.5,73
357,"T",5,64
358,"T",4.5,69
359,"T",5.5,98
360,"T",4.5,69
361,"T",5,102
362,"T",5.5,60
363,"T",5,45
364,"T",4.5,29
365,"T",5,34
366,"T",5,45
367,"T",5.5,133
368,"T",7.5,89
369,"T",6.5,71
370,"T",5.5,79
371,"T",4.5,55
372,"T",6.5,133
373,"T",7,132
374,"T",5.5,55
375,"T",5,38
376,"T",6.5,69
377,"T",6,12
378,"T",5,16
379,"T",5.5,54
380,"G",4.5,31
381,"D",4,0
382,"I",4,86
383,"I",4.5,1
384,"J",4.5,73
385,"L",4.5,0
386,"M",4.5,38
387,"T",5.5,0
388,"A",4.5,83
389,"R",4.5,1
390,"P",5.5,0
391,"R",5,6
