"","player_id","id","kickoff_time","kickoff_time_formatted","team_h_score","team_a_score","was_home","round","total_points","value","transfers_balance","selected","transfers_in","transfers_out","loaned_in","loaned_out","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","open_play_crosses","big_chances_created","clearances_blocks_interceptions","recoveries","key_passes","tackles","winning_goals","attempted_passes","completed_passes","penalties_conceded","big_chances_missed","errors_leading_to_goal","errors_leading_to_goal_attempt","tackled","offside","target_missed","fouls","dribbles","element","fixture","opponent_team","name","team","pos","difficulty","opponents","venue","team_goals","opposition_goals","game_id"
"4583",459,1511,"2018-08-26T15:00:00Z","26 Aug 16:00",1,2,FALSE,3,2,5.1,58328,762023,135296,76968,0,0,90,0,0,0,1,0,0,0,0,0,0,0,15,"35.8","32.5","2.0","7.0",0,0,0,4,8,1,0,0,173,158,0,0,0,0,3,0,0,0,1,459,27,15,"Jorginho","Chelsea","Midfielder",2,"Newcastle","A",2,2,3
"4584",459,2042,"2018-09-01T14:00:00Z","01 Sep 15:00",2,0,TRUE,4,3,5.1,28366,811451,96814,68448,0,0,90,0,0,1,0,0,0,0,0,0,0,0,15,"9.4","11.7","9.0","3.0",0,0,0,3,10,0,0,0,80,72,0,0,0,0,0,0,1,0,0,459,34,2,"Jorginho","Chelsea","Midfielder",3,"Bournemouth","H",2,2,4
"4585",459,2579,"2018-09-15T14:00:00Z","15 Sep 15:00",4,1,TRUE,5,2,5.2,-2975,821557,78125,81100,0,0,90,0,0,0,1,0,0,0,0,0,0,0,10,"7.8","6.5","0.0","1.4",0,0,0,0,5,0,0,0,91,81,0,0,0,0,0,0,0,1,0,459,42,5,"Jorginho","Chelsea","Midfielder",2,"Cardiff","H",4,4,5
"4586",459,3116,"2018-09-23T12:30:00Z","23 Sep 13:30",0,0,FALSE,6,3,5.2,-82484,741628,20488,102972,0,0,90,0,0,1,0,0,0,0,0,0,0,0,16,"29.6","50.7","0.0","8.0",0,0,0,2,11,3,0,0,180,162,0,0,0,0,2,0,0,1,0,459,60,19,"Jorginho","Chelsea","Midfielder",3,"West Ham","A",0,0,6
"4587",459,3654,"2018-09-29T16:30:00Z","29 Sep 17:30",1,1,TRUE,7,2,5.1,-53507,691911,14489,67996,0,0,90,0,0,0,1,0,0,0,0,0,0,0,15,"18.0","17.7","0.0","3.6",0,1,0,2,4,1,1,0,73,63,0,0,0,0,1,0,0,0,0,459,64,12,"Jorginho","Chelsea","Midfielder",4,"Liverpool","H",1,1,7
"4588",459,4193,"2018-10-07T13:15:00Z","07 Oct 14:15",0,3,FALSE,8,3,5.1,-25645,670942,18862,44507,0,0,90,0,0,1,0,0,0,0,0,0,0,0,11,"19.6","17.2","0.0","3.7",0,0,0,1,2,1,0,0,91,85,0,0,0,0,0,0,0,2,0,459,78,16,"Jorginho","Chelsea","Midfielder",2,"Southampton","A",3,3,8
"4589",459,4735,"2018-10-20T11:30:00Z","20 Oct 12:30",2,2,TRUE,9,2,5.1,-33591,641562,20983,54574,0,0,90,0,0,0,2,0,0,0,0,0,0,0,20,"18.4","31.6","0.0","5.0",0,0,0,1,7,2,3,0,74,65,0,0,0,0,0,0,0,0,0,459,84,14,"Jorginho","Chelsea","Midfielder",4,"Man Utd","H",2,2,9
"4590",459,5281,"2018-10-28T13:30:00Z","28 Oct 13:30",0,4,FALSE,10,3,5.1,-26171,617645,14215,40386,0,0,77,0,0,1,0,0,0,0,0,0,0,0,18,"17.2","31.3","0.0","4.9",0,0,1,2,5,2,0,0,103,95,0,0,0,0,1,0,0,0,0,459,92,4,"Jorginho","Chelsea","Midfielder",2,"Burnley","A",4,4,10
"4591",460,460,"2018-08-11T14:00:00Z","11 Aug 15:00",0,2,TRUE,1,1,4.5,0,14289,0,0,0,0,90,0,0,0,2,0,0,0,0,0,0,0,12,"17.8","19.3","9.0","4.6",0,1,0,4,2,1,1,0,67,59,0,0,0,0,3,0,0,1,0,460,3,7,"Christie","Fulham","Defender",2,"Crystal Palace","H",0,0,1
"4592",460,985,"2018-08-18T14:00:00Z","18 Aug 15:00",3,1,FALSE,2,1,4.5,-890,14640,564,1454,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,"1.0","0.0","0.0","0.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,460,19,17,"Christie","Fulham","Defender",4,"Spurs","A",1,1,2
